"filename", "language", "Java", "CSS", "XML", "comment", "blank", "total"
"e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPSubCriteriaProcess.java", "Java", 100, 0, 0, 7, 28, 135
"e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPcalculation.java", "Java", 84, 0, 0, 7, 21, 112
"e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPprocessImplementation.java", "Java", 89, 0, 0, 30, 19, 138
"e:\IdeaProjects\SPL1\src\AHPalgorithm\CountCriteriaAHP.java", "Java", 66, 0, 0, 4, 16, 86
"e:\IdeaProjects\SPL1\src\AHPalgorithm\MonthCriteriaAHP.java", "Java", 73, 0, 0, 4, 19, 96
"e:\IdeaProjects\SPL1\src\AHPalgorithm\PriceCriteriaAHP.java", "Java", 62, 0, 0, 4, 21, 87
"e:\IdeaProjects\SPL1\src\AHPalgorithm\TypeCriteriaAHP.java", "Java", 78, 0, 0, 4, 17, 99
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\BorrowCountOfBook.java", "Java", 185, 0, 0, 0, 15, 200
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\ClassesOfBook.java", "Java", 205, 0, 0, 0, 17, 222
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\DemandsOfBook.java", "Java", 205, 0, 0, 0, 18, 223
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\GenericsOfBook.java", "Java", 236, 0, 0, 0, 18, 254
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\SevenValueCalculation.java", "Java", 83, 0, 0, 0, 31, 114
"e:\IdeaProjects\SPL1\src\BookDataBaseFX\TypesOfBook.java", "Java", 205, 0, 0, 0, 18, 223
"e:\IdeaProjects\SPL1\src\Collection\BorrowCollection.java", "Java", 170, 0, 0, 3, 62, 235
"e:\IdeaProjects\SPL1\src\Collection\PriceCollection.java", "Java", 170, 0, 0, 0, 38, 208
"e:\IdeaProjects\SPL1\src\Collection\TimeCollection.java", "Java", 161, 0, 0, 0, 44, 205
"e:\IdeaProjects\SPL1\src\Collection\TypeCollection.java", "Java", 152, 0, 0, 0, 50, 202
"e:\IdeaProjects\SPL1\src\Collection\WriterCollection.java", "Java", 210, 0, 0, 1, 39, 250
"e:\IdeaProjects\SPL1\src\CombinedChartView\CombinedLineChart.java", "Java", 186, 0, 0, 0, 27, 213
"e:\IdeaProjects\SPL1\src\CombinedChartView\CombinedScatterChart.java", "Java", 180, 0, 0, 0, 29, 209
"e:\IdeaProjects\SPL1\src\CombinedChartView\CombinedStackedAreaChart.java", "Java", 197, 0, 0, 0, 28, 225
"e:\IdeaProjects\SPL1\src\CombinedChartView\RegressionLineAnalysis.java", "Java", 173, 0, 0, 0, 21, 194
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\CrossValidation.java", "Java", 607, 0, 0, 0, 44, 651
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TestingSet.java", "Java", 862, 0, 0, 0, 65, 927
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TrainingObservation.java", "Java", 199, 0, 0, 0, 10, 209
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TrainingSet.java", "Java", 523, 0, 0, 0, 52, 575
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TrainingSetCombined.java", "Java", 872, 0, 0, 0, 70, 942
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TrainingSetComparison.java", "Java", 845, 0, 0, 0, 76, 921
"e:\IdeaProjects\SPL1\src\CrossValidationProcess\TrainingTestingComparison.java", "Java", 890, 0, 0, 0, 79, 969
"e:\IdeaProjects\SPL1\src\DataComparing\CrossValidationShowing.java", "Java", 446, 0, 0, 26, 68, 540
"e:\IdeaProjects\SPL1\src\DataComparing\PredictionSector.java", "Java", 22, 0, 0, 0, 5, 27
"e:\IdeaProjects\SPL1\src\DataComparing\TestingSector.java", "Java", 140, 0, 0, 23, 26, 189
"e:\IdeaProjects\SPL1\src\DataComparing\TrainingSector.java", "Java", 228, 0, 0, 3, 42, 273
"e:\IdeaProjects\SPL1\src\FilePackage\DateTimeWriter.java", "Java", 67, 0, 0, 24, 15, 106
"e:\IdeaProjects\SPL1\src\FilePackage\OutputWriter.java", "Java", 41, 0, 0, 1, 8, 50
"e:\IdeaProjects\SPL1\src\Images\a4.svg", "XML", 0, 0, 4782, 1, 2, 4785
"e:\IdeaProjects\SPL1\src\InfoDisplay\BookAnalysis.java", "Java", 19, 0, 0, 0, 4, 23
"e:\IdeaProjects\SPL1\src\InfoDisplay\BookInformationShow.java", "Java", 517, 0, 0, 1, 42, 560
"e:\IdeaProjects\SPL1\src\InfoDisplay\BookNumberDisplay.java", "Java", 183, 0, 0, 0, 15, 198
"e:\IdeaProjects\SPL1\src\InfoDisplay\SevenNumberImplementation.java", "Java", 698, 0, 0, 0, 75, 773
"e:\IdeaProjects\SPL1\src\InfoDisplay\SevenValueStatistics.java", "Java", 519, 0, 0, 1, 37, 557
"e:\IdeaProjects\SPL1\src\InfoDisplay\database.fxml", "XML", 0, 0, 21, 0, 3, 24
"e:\IdeaProjects\SPL1\src\JavFX\AuthorSystem.java", "Java", 170, 0, 0, 0, 15, 185
"e:\IdeaProjects\SPL1\src\JavFX\FxDatabase.java", "Java", 26, 0, 0, 0, 6, 32
"e:\IdeaProjects\SPL1\src\JavFX\Main.java", "Java", 478, 0, 0, 6, 39, 523
