Date : 2022-04-15 00:50:58
Directory : e:\IdeaProjects\SPL1\src
Total : 127 files,  38267 codes, 711 comments, 3768 blanks, all 42746 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        124 |     33,430 |        710 |      3,753 |     37,893 |
| XML      |          2 |      4,803 |          1 |          5 |      4,809 |
| CSS      |          1 |         34 |          0 |         10 |         44 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                |        127 |     38,267 |        711 |      3,768 |     42,746 |
| AHPalgorithm                                                                     |          7 |        552 |         60 |        141 |        753 |
| BookDataBaseFX                                                                   |          6 |      1,119 |          0 |        117 |      1,236 |
| Collection                                                                       |          5 |        863 |          4 |        233 |      1,100 |
| CombinedChartView                                                                |          4 |        736 |          0 |        105 |        841 |
| CrossValidationProcess                                                           |          7 |      4,798 |          0 |        396 |      5,194 |
| DataComparing                                                                    |          4 |        836 |         52 |        141 |      1,029 |
| FilePackage                                                                      |          2 |        108 |         25 |         23 |        156 |
| Images                                                                           |          1 |      4,782 |          1 |          2 |      4,785 |
| InfoDisplay                                                                      |          6 |      1,957 |          2 |        176 |      2,135 |
| JavFX                                                                            |          5 |        974 |         15 |         95 |      1,084 |
| JavaSwing                                                                        |          1 |         57 |          0 |          8 |         65 |
| Layout                                                                           |          1 |         89 |          0 |         18 |        107 |
| LibraryFunctionality                                                             |          7 |      2,078 |        163 |        277 |      2,518 |
| LinearRegression                                                                 |          3 |        381 |          9 |         41 |        431 |
| MainPackage                                                                      |          4 |        453 |          3 |         83 |        539 |
| Methods                                                                          |          5 |        288 |          0 |         36 |        324 |
| MultiVariableRegression                                                          |          4 |        247 |         11 |         50 |        308 |
| ObjectOriented                                                                   |          5 |        451 |          0 |        120 |        571 |
| PageRankAlgorithm                                                                |          5 |        321 |          4 |         81 |        406 |
| ProjectDescription                                                               |          4 |        515 |          0 |         74 |        589 |
| RecommendationAlgorithm                                                          |          4 |        713 |         29 |         64 |        806 |
| Regression                                                                       |          6 |        270 |          1 |         62 |        333 |
| ResultPackage                                                                    |          3 |        234 |          0 |         20 |        254 |
| SimpleRegression                                                                 |          5 |        285 |          5 |         43 |        333 |
| TableViewPackage                                                                 |          8 |      3,287 |         31 |        376 |      3,694 |
| UserInterfacePackage                                                             |          8 |      3,756 |        142 |        318 |      4,216 |
| VisualRepresentation                                                             |          7 |      8,117 |        154 |        668 |      8,939 |
+----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                         | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPSubCriteriaProcess.java                 | Java     |        100 |          7 |         28 |        135 |
| e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPcalculation.java                        | Java     |         84 |          7 |         21 |        112 |
| e:\IdeaProjects\SPL1\src\AHPalgorithm\AHPprocessImplementation.java              | Java     |         89 |         30 |         19 |        138 |
